stem,0,1,2,3,4,5,6,7,8,9
1-1-2,626434,756665,447942,28216,0,0,36273,24470,0,0
10-10-2270,329580,958314,428968,36120,0,0,80818,86200,0,0
100-100-456,165565,965074,532829,55784,0,0,8952,125396,0,66400
100-100-6207,374174,1129222,387907,0,0,0,0,28697,0,0
1002-1057-5069,311466,693771,873332,0,0,0,0,41431,0,0
1003-1059-5075,389697,757525,684897,0,0,0,8792,79089,0,0
1005-1061-15405,312137,696583,748103,49889,0,0,72925,40363,0,0
1005-1061-5084,291887,1220954,369163,0,0,0,0,37996,0,0
1005-1061-6328,228587,1307462,319787,40046,0,0,0,24118,0,0
1005-1061-6330,384459,1210249,259220,40537,0,0,0,25535,0,0
1006-1062-19658,49753,694560,1120468,0,0,0,0,55219,0,0
1006-1062-5087,257205,879050,637956,9925,0,0,0,132652,0,3212
1006-1062-5765,26630,458201,1303528,49274,0,0,30469,33595,0,18303
1007-1063-5093,559583,1010823,234095,0,0,0,0,115499,0,0
1007-1063-5095,57300,964863,806062,0,0,0,0,91775,0,0
1008-1064-5099,394757,961563,551051,0,0,0,0,12629,0,0
1008-1064-5100,239123,919065,646768,0,0,0,11909,103135,0,0
1009-1065-5107,107282,633441,926201,3197,196111,0,0,53768,0,0
101-101-465,579137,957898,340858,0,0,0,0,28714,0,13393
1010-1066-5108,108126,1218155,472354,0,0,0,0,121365,0,0
1010-1066-5110,530563,843172,361063,58918,81438,0,26192,18654,0,0
1011-1067-5111,214839,1276624,359258,0,0,0,0,69279,0,0
1011-1067-7600,429343,808183,632539,0,0,0,0,49935,0,0
1011-1067-7601,356401,1032553,469158,0,0,0,0,61888,0,0
1013-1069-5120,67807,729294,1085981,0,0,0,0,36918,0,0
1014-1070-5123,522486,918324,417636,6838,0,0,0,54716,0,0
1015-1071-5130,59086,891993,710462,0,235662,0,0,22797,0,0
1015-1071-5136,135199,578378,751593,37899,377518,0,157,4516,0,34740
1016-1072-5138,783824,869362,259335,1429,0,0,0,6050,0,0
1017-1073-5144,470322,593119,763851,0,0,0,21865,70843,0,0
1017-1073-5145,470509,930789,412282,0,0,0,106420,0,0,0
1018-1074-5147,309290,967138,582165,0,0,0,0,61141,0,266
1019-1075-5150,411297,1298495,146179,0,0,0,0,64029,0,0
1019-1075-5151,412985,1216783,253413,0,0,0,0,36819,0,0
1020-1076-5155,413839,743360,666984,0,0,0,0,34222,0,61595
1021-1077-5158,539935,702974,653183,0,0,0,0,23908,0,0
1021-1077-5160,154814,1118610,629978,0,0,0,0,16598,0,0
1022-1078-5167,463565,948501,385302,0,0,0,26593,96039,0,0
1022-1078-6496,500042,860147,509028,0,0,0,0,50783,0,0
1022-1078-9605,218216,1045948,537830,48282,0,0,55341,14383,0,0
1023-1079-21395,449203,681110,662944,45360,0,0,81383,0,0,0
1023-1079-22071,477070,594342,764064,53860,0,0,6189,24475,0,0
1023-1079-6367,240348,715034,580854,139244,195265,0,49255,0,0,0
1023-1079-7301,73380,906507,803827,89332,0,0,43949,3005,0,0
1023-1079-7305,280599,531171,869641,32525,163079,0,0,42985,0,0
1024-1080-5170,201537,712395,714311,108641,0,0,128472,11823,0,42821
1024-1080-6380,26092,467674,1241542,96989,0,0,48754,0,0,38949
1025-1081-5182,399747,993531,405175,19827,0,0,48805,52915,0,0
1026-1082-5186,68937,1158458,564701,0,0,0,0,127904,0,0
1027-1083-5191,240072,812911,758632,63302,0,0,0,45083,0,0
1028-1084-5198,733540,833069,323628,0,0,0,0,29763,0,0
1029-1085-5201,142544,928001,783304,0,0,0,0,66151,0,0
1029-1085-5204,14473,661016,1198995,0,0,0,0,45516,0,0
1029-1085-6598,257617,940763,623541,37812,0,0,0,60267,0,0
1029-1085-6600,37880,626280,1181591,23241,0,0,0,51008,0,0
103-103-464,584048,300702,1024670,0,0,0,0,10580,0,0
1030-1086-5207,306961,1048054,466734,0,0,0,29752,68499,0,0
1031-1087-5213,33357,861408,962701,0,0,0,3208,59326,0,0
1031-1087-5216,67911,1025635,759288,0,0,0,23304,43862,0,0
1031-1087-5217,35694,876633,950219,0,0,0,2071,55207,0,176
1031-1087-5218,89637,1052500,645085,0,0,0,59889,72889,0,0
1032-1088-5221,355404,1072708,420353,0,0,0,0,71535,0,0
1033-1089-5222,515260,908583,464010,0,0,0,0,32147,0,0
1033-1089-5225,916845,649584,314849,0,0,0,0,38722,0,0
1035-1091-17570,230964,888182,736964,0,0,0,0,63890,0,0
1035-1091-17571,138491,836989,926738,0,0,0,0,17782,0,0
1036-1092-5236,208432,983926,638382,0,0,0,0,89260,0,0
1036-1092-5237,29366,741874,1055218,0,0,0,0,93542,0,0
1037-1093-5242,241630,754061,709591,18365,147239,0,0,49114,0,0
1038-1094-5247,883051,450804,407680,0,134479,0,0,43986,0,0
1039-1095-5251,240375,934375,667558,0,0,0,0,77692,0,0
1039-1095-6751,305192,857337,607871,46452,0,0,47023,56125,0,0
104-104-471,484283,647977,701904,0,0,0,0,66630,0,19206
1042-1098-5260,255262,1188557,395891,0,0,0,0,80290,0,0
1043-1099-5263,316140,830646,730464,0,0,0,0,42750,0,0
1044-1100-5266,198589,1184305,157030,49811,0,0,25326,74747,0,230192
1045-1101-5270,875497,711593,283759,0,0,0,0,49151,0,0
1045-1101-5273,434809,687788,726319,0,0,0,19774,51310,0,0
1046-1102-5286,183652,672907,925407,0,0,0,0,74637,0,63397
1047-1103-5289,297149,773398,638272,0,0,67446,35427,108308,0,0
1048-1104-5294,156031,1036603,648336,34499,0,0,11800,32731,0,0
1049-1105-5300,169574,1341063,352424,0,0,0,0,56939,0,0
105-105-478,266471,858610,425558,0,287003,0,0,46946,0,35412
105-105-480,317287,598831,731119,0,189616,0,619,82528,0,0
1050-1106-5304,662193,1060843,126227,0,0,0,0,70737,0,0
1050-1106-5305,54380,830328,976586,0,0,0,0,58706,0,0
1051-1107-5307,112726,956612,543624,77620,0,0,0,21554,0,207864
1051-1107-5308,73880,1053256,553532,9941,0,0,0,36396,0,192995
1052-1108-5310,423167,704465,718765,0,0,0,0,73603,0,0
1053-1109-5313,133950,1225830,485098,0,0,0,0,75122,0,0
1053-1109-5314,70068,1055071,723484,0,0,0,0,49612,0,21765
1055-1111-5320,296055,915549,684313,0,0,0,0,24083,0,0
1055-1111-7117,444014,781245,542995,74197,0,0,54192,23357,0,0
1055-1111-7119,714101,468975,613548,88586,0,0,34790,0,0,0
1055-1111-7134,209461,626023,904355,81383,0,0,98778,0,0,0
1056-1112-5324,434035,761874,494973,17431,69354,0,51423,53806,0,37104
1056-1112-5325,750239,809812,276827,14863,0,0,48063,20196,0,0
1056-1112-5326,287514,986899,562732,12973,0,0,38662,31220,0,0
1056-1112-5327,215451,908789,714601,12549,0,0,0,68610,0,0
1057-1113-5335,344776,922672,638247,0,0,0,0,14305,0,0
1058-1114-5338,57827,921350,815464,46935,0,0,49189,29235,0,0
106-106-483,45300,851745,857936,53160,0,0,74359,37500,0,0
1060-1116-5341,849215,596248,139614,0,163450,0,96023,75450,0,0
1061-1117-5342,171756,770929,880104,0,0,0,10904,86307,0,0
1061-1117-5343,629868,793709,422430,0,0,0,12775,61218,0,0
1061-1117-5344,754014,517554,570812,0,515,0,13668,63437,0,0
1061-1117-5346,720786,677367,437199,0,0,0,11432,73216,0,0
1062-1118-5357,207211,928883,721997,0,0,0,0,61909,0,0
1063-1119-5352,190256,1096639,570452,0,0,0,24483,38170,0,0
1064-1120-5356,431692,810276,627929,0,0,0,35204,14899,0,0
1064-1403-6630,503238,844948,465132,36662,0,0,14665,55355,0,0
1065-1121-5364,423101,1180184,246810,0,0,0,0,69905,0,0
1066-1122-5363,272445,331613,1202222,26719,0,0,87001,0,0,0
1067-1123-5365,55751,1032767,697236,0,0,0,0,134246,0,0
1068-1124-21923,434417,462454,955234,0,0,0,0,67895,0,0
1068-1124-36007,161137,419569,1287821,0,0,0,0,51473,0,0
1068-1124-80090,239805,646589,908280,0,41899,0,0,83427,0,0
1068-1124-9173,229270,929883,604202,65103,0,0,34686,39334,0,17522
1069-1125-5368,296094,738750,829073,0,0,0,0,56083,0,0
107-107-484,289444,1019015,477402,0,0,0,98992,35147,0,0
107-107-486,86854,807022,835539,0,0,0,125399,35477,0,29709
1070-1126-5370,213323,1050546,599344,0,0,0,0,56787,0,0
1071-1127-5928,261855,520033,1085603,52509,0,0,0,0,0,0
1071-1127-5930,241829,651842,951101,62337,0,0,0,12891,0,0
1071-1127-5931,305984,787817,765582,60617,0,0,0,0,0,0
1072-1128-5376,316725,631657,844519,33019,0,0,23719,70361,0,0
1073-1129-5380,13965,394765,1496267,0,0,0,0,15003,0,0
1073-1129-5381,735473,867620,213131,0,0,0,49218,54558,0,0
1074-1130-5386,700957,538751,680292,0,0,0,0,0,0,0
1074-1130-5387,514721,393907,990861,0,0,0,0,20511,0,0
1074-3999-19556,200267,1075875,525325,0,0,0,77866,40667,0,0
1074-3999-19558,313707,1001220,463273,0,0,0,82682,59118,0,0
1075-1131-5391,425041,1026142,409393,0,0,0,0,59424,0,0
1076-1132-5394,504261,1084641,199950,0,0,0,0,131148,0,0
1076-1132-5396,383140,947208,436022,0,0,0,0,94761,0,58869
1077-10672-52399,356653,729097,760939,0,0,0,61628,11683,0,0
1077-1133-5399,69505,868494,866885,24291,55112,0,0,35713,0,0
1077-1133-6925,193521,954051,492842,127222,135414,0,0,16950,0,0
1077-1133-6926,490343,812595,265422,107401,119196,0,106467,18576,0,0
1078-1134-36846,206487,940899,706751,0,0,0,0,65863,0,0
1078-1134-37454,145050,957332,688521,62465,0,0,38776,27856,0,0
1078-1134-5407,277318,959804,621095,0,0,0,0,61783,0,0
1079-1135-5414,135872,898731,878138,0,0,0,0,7259,0,0
108-108-489,88631,740823,1025982,0,0,0,0,64564,0,0
1080-1136-5416,641371,542429,736200,0,0,0,0,0,0,0
1080-1136-5418,772229,618813,493624,0,0,0,0,35334,0,0
1081-1137-5422,377582,785133,694959,0,0,0,0,35291,0,27035
1081-1137-5423,582814,510801,815784,0,0,0,0,10601,0,0
1082-1138-5428,309258,933083,602026,0,0,0,0,75633,0,0
1082-1138-5430,99861,502586,854271,24534,438748,0,0,0,0,0
1083-1139-6439,264885,996550,527376,0,0,0,45360,85829,0,0
1083-1139-6444,30439,795032,793632,37245,0,0,22259,74211,0,167182
1084-1140-5433,239987,992789,460544,0,0,0,0,226680,0,0
1085-1142-5437,620198,772703,424929,43,0,0,30285,71842,0,0
1086-1143-5445,308997,802319,592785,0,193101,0,0,22798,0,0
1086-1143-5446,388419,1202561,184586,0,110054,0,0,34380,0,0
1087-1144-5450,144866,987724,772422,0,0,0,0,14988,0,0
1087-1144-5451,419344,1217331,234444,0,0,0,0,48881,0,0
1088-1145-5459,410742,1068367,292146,0,0,0,80039,68706,0,0
1089-1146-5460,425859,830768,598576,0,0,0,0,64797,0,0
1089-1146-5462,163488,811294,882366,0,0,0,0,62852,0,0
109-109-4845,464360,850363,497147,56358,0,0,0,51772,0,0
109-109-492,223038,973013,590160,0,0,0,0,108822,0,24967
1090-1147-5467,645047,918102,266233,53946,0,0,0,36672,0,0
1090-1147-5469,433825,714945,702413,26429,0,0,0,42388,0,0
1091-1148-5471,167347,977197,714803,0,0,0,0,60653,0,0
1092-1149-5477,337805,898820,401111,77423,83219,0,87413,34209,0,0
1093-1150-5481,113001,428777,1343123,0,0,0,0,35099,0,0
1094-1151-5487,418716,1125129,302574,0,0,0,28628,44953,0,0
1094-1151-5488,51865,758451,1097185,0,0,0,0,12499,0,0
1096-1153-5496,102288,682888,1066345,0,0,0,23055,45424,0,0
1097-1154-5501,131305,921332,781837,0,0,0,0,48209,0,37317
1098-1155-5502,516569,471179,911560,0,0,0,0,20692,0,0
